"filename", "language", "mcfunction", "JSON", "comment", "blank", "total"
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round1\5-1.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round1\5-2.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round1\5-3.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round1\5-4.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round1\5-5.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round2\1-1.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round2\1-2.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round2\1-3.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round2\1-4.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round2\1-5.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round2\2-1.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round2\2-2.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round2\2-3.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round2\2-4.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round2\2-5.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round2\3-1.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round2\3-2.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round2\3-3.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round2\3-4.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round2\3-5.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round2\4-1.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round2\4-2.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round2\4-3.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round2\4-4.mcfunction", "mcfunction", -2, 0, -2, -2, -6
